date,city,pm25,pm10,no2,o3
2025-01-01,Kolkata,39.0620987395428,59.27541941732232,13.180508255488302,39.9200550170649
2025-01-02,Delhi,31.282246327269526,67.5678412789481,13.32560948884085,17.314315702824793
2025-01-03,Ahmedabad,26.34209265141559,38.62924602483839,15.686636730026803,23.378805042583437
2025-01-04,Hyderabad,33.79788879938132,24.068034897441578,19.617783744136318,21.48614132501683
2025-01-05,Chennai,48.02564374526688,56.79884705722915,22.145725406895075,22.45290264756856
2025-01-06,Jaipur,43.55305848968803,58.93386383610554,27.172891903727425,33.32844101144684
2025-01-07,Bangalore,38.89916146507119,21.467762753293748,26.747290689738954,37.43813334528207
2025-01-08,Kolkata,40.61060863050645,62.11862952881047,26.532938767454244,18.445569828611276
2025-01-09,Jaipur,17.478876840501265,30.825979833057552,24.826836665996378,29.638751255644557
2025-01-10,Lucknow,38.98283927222542,50.64605673193468,19.074901253159396,24.53965810034154
2025-01-11,Pune,32.898453017641586,47.45766404567313,28.071678169175264,30.86199636269165
2025-01-12,Jaipur,10.533100646192771,61.770576363743174,8.809813447693688,44.156182492689915
2025-01-13,Mumbai,26.969944938150526,53.9769308437953,18.638979596883285,19.356753347468064
2025-01-14,Kolkata,19.56731023264922,53.98240507300003,14.181858438326785,16.040523511003983
2025-01-15,Jaipur,20.82743454595997,70.5731755839859,18.1071492852622,40.32684213661912
2025-01-16,Jaipur,29.914923320377266,69.41097620537037,22.070532205929354,25.41765485690303
2025-01-17,Mumbai,43.122958951305975,70.06389465665954,26.38690727840206,31.109149205112136
2025-01-18,Pune,19.081527629126093,72.21169341679533,19.216980206063432,33.883939787252615
2025-01-19,Kolkata,18.828561460439946,45.17435376471035,13.319341254449707,35.65835257258249
2025-01-20,Ahmedabad,20.699868464457374,39.44235577870624,18.648575816678235,35.24385051961415
2025-01-21,Kolkata,38.318366996308875,53.28642562926248,31.049593449578317,31.102230668043077
2025-01-22,Pune,24.54436133540535,60.86696268904627,24.79652479754852,37.75908107048654
2025-01-23,Jaipur,44.9871560631072,45.793373722382526,22.906523504601825,35.31420220663398
2025-01-24,Lucknow,33.06448659591872,45.15099268299851,24.398747649293085,30.94663491055293
2025-01-25,Delhi,46.023480018968314,54.014843580917315,21.938177236809686,20.186877510388744
2025-01-26,Chennai,,60.66649676165893,30.024154377552538,14.790591153690494
2025-01-27,Kolkata,39.08734678981329,38.10347835833899,27.772298968983016,25.807740223259913
2025-01-28,Pune,36.18432630200581,45.54371424892474,15.77257883156274,31.397565988554952
2025-01-29,Kolkata,20.048463020661178,63.524764915866726,24.831739940518702,43.07823895097335
2025-01-30,Pune,43.92915133941841,62.08621186692765,22.892677760522957,29.152296679845712
2025-01-31,Bangalore,18.818024276266026,67.98285007788172,13.996694493649095,17.978374785819497
2025-02-01,Jaipur,26.843878164101486,62.73874482388438,15.208490170885,44.274431199194495
2025-02-02,Hyderabad,31.495518112932963,66.79307955908547,18.995342098909624,37.147830581173444
2025-02-03,Lucknow,29.234233072384292,47.53408339705296,23.008431292528936,14.486865649988381
2025-02-04,Jaipur,28.243430023898362,38.47348437826727,19.870840535908368,21.563492922692326
2025-02-05,Chennai,45.038192085042674,49.44312541098722,18.838562155445146,31.22575054844921
2025-02-06,Pune,37.730326122873436,49.94975891537096,21.545323153744533,33.55686479732243
2025-02-07,Ahmedabad,40.26298297717805,55.99277372634781,15.146540549426685,38.65936888170815
2025-02-08,Kolkata,49.14454101200565,23.186875510036362,8.988533552394806,38.86637958855991
2025-02-09,Hyderabad,50.9466489920834,28.06571048540767,20.848321100792923,38.273611381367445
2025-02-10,Hyderabad,30.225201328921194,44.25636637262908,21.72954683775825,30.86860621033523
2025-02-11,Lucknow,43.49377757335246,48.931864956316346,11.28479761472946,21.149142209216475
2025-02-12,Hyderabad,24.154588980019312,24.735582894680046,20.00078579571018,21.973039026957963
2025-02-13,Delhi,38.45562651491599,60.92808925472234,20.336950165441927,36.16245494977145
2025-02-14,Hyderabad,28.01133898666678,52.86047331341166,14.010431360644507,26.172291908711678
2025-02-15,Bangalore,18.40762178296102,59.61174547213987,23.064579178649744,17.755274973078308
2025-02-16,Jaipur,32.82337458542552,65.03477425684703,14.637436081411348,43.113019722390746
2025-02-17,Kolkata,16.609994953291057,31.850969981974487,37.25787831305501,31.49111393134944
2025-02-18,Mumbai,53.29249855939489,63.47163905015944,17.373608217804126,36.440212238558225
2025-02-19,Lucknow,22.32107387416881,31.99834001237585,21.3596301526496,36.634205011722
2025-02-20,Jaipur,38.27212394704124,32.9820342705041,23.80335898413759,38.16506583557772
2025-02-21,Ahmedabad,41.877448511646186,53.34361401296489,21.25247068750611,26.548102680979195
2025-02-22,Pune,33.45235492845534,59.215865721163695,18.774465122747635,39.78887771809373
2025-02-23,Lucknow,42.76433688894289,59.12141686485832,25.498235982172865,21.534665558449916
2025-02-24,Jaipur,31.712847954978177,27.87627327956408,15.213365391256549,21.334220646204916
2025-02-25,Lucknow,26.130371980259937,33.27877585313804,24.857172744978392,32.76319081100985
2025-02-26,Lucknow,47.80683313965534,42.14769431606498,24.69222275670684,33.11434546354557
2025-02-27,Bangalore,31.567517818805587,66.24477267086337,20.490686776271506,26.9712324705542
2025-02-28,Ahmedabad,28.676472764405,54.36648072247196,24.319815745054285,30.889236306584884
2025-03-01,Pune,34.103004183816964,58.66374140078185,24.211677716686197,35.82718218510262
2025-03-02,Lucknow,21.927328834180713,46.3390171773658,13.319592483320445,27.410522685538456
2025-03-03,Ahmedabad,20.349904302171268,69.54684373158224,19.19666853328012,33.20471093330213
2025-03-04,Jaipur,42.0202803402282,43.82563097799575,22.196005736730346,14.919778545378588
2025-03-05,Pune,38.99503346773144,52.57854019001393,8.648917718697051,27.220014708797446
2025-03-06,Hyderabad,54.7028293257836,49.05025223091805,14.68382549034289,13.095112561786465
2025-03-07,Chennai,31.02658471711718,55.37812282314653,16.34286916440447,17.77609999697366
2025-03-08,Mumbai,35.44186737341994,57.078257813091845,12.082146541160553,22.91702731556237
2025-03-09,Bangalore,31.54328238082274,30.372716261156544,14.138816381639604,28.853779229894762
2025-03-10,Kolkata,30.227931343574976,71.76028339843342,10.911687959349063,46.880171147924
2025-03-11,Chennai,26.610626598944307,48.87379275270678,17.615040784951013,30.942418683015347
2025-03-12,Ahmedabad,36.653130705390694,60.94502113316645,14.866052645171104,32.079705178104426
2025-03-13,Lucknow,36.053271758945996,41.03982501950403,25.335269701416166,37.15692525393696
2025-03-14,Lucknow,55.79722709264573,79.71576023041497,17.711506798774227,34.00198486549756
2025-03-15,Lucknow,30.692792447831174,46.819021067010084,15.228853935471786,41.405992999277395
2025-03-16,Lucknow,18.33499899952867,56.84649120995306,23.390831065021764,32.03014967052519
2025-03-17,Chennai,24.80682797109645,55.05625297294426,23.31587317307503,23.21922879631672
2025-03-18,Lucknow,24.910651699703497,80.51742478173398,13.196576683898376,27.111594327338576
2025-03-19,Mumbai,54.0423812375214,50.42085092504393,13.081423769780631,31.57294365230656
2025-03-20,Hyderabad,25.453102054877156,67.89367883396368,13.412804718605843,36.106586337446956
2025-03-21,Bangalore,29.35681532865933,32.68708675548831,10.84555699235482,33.582349740131455
2025-03-22,Lucknow,39.9254241188449,47.3024029353924,11.606235735836945,21.22432002432312
2025-03-23,Chennai,35.47076594033021,66.39375336168435,16.363445942607576,30.993838715087403
2025-03-24,Kolkata,33.655681429951535,76.01916133692718,10.977727530493187,35.405173286721
2025-03-25,Delhi,36.68853295325495,87.70860040102522,19.95852425642174,36.64368387611223
2025-03-26,Kolkata,33.516667997011304,61.877663652579315,25.137325644653096,29.882252588632593
2025-03-27,Pune,41.07808030189477,38.75432887613987,16.97893975908761,29.785558963180016
2025-03-28,Delhi,31.40556770251506,66.60688295233275,19.474233116151215,23.301832511385488
2025-03-29,Jaipur,20.147794037210662,40.18272448892549,13.283181454609714,13.500677375678315
2025-03-30,Hyderabad,44.98830232922289,64.31508546968148,17.76342672110183,37.11571932746277
2025-03-31,Ahmedabad,32.024620860676535,57.232045757518115,16.209064611009406,21.25265263900083
2025-04-01,Lucknow,31.367881777319713,31.52788497983016,23.687516871742755,22.553559619823876
2025-04-02,Chennai,30.364019572730495,50.682567752844115,17.446788731758488,36.946959406189066
2025-04-03,Mumbai,25.55790560495247,19.330151459316237,24.868108388281023,19.9455495096957
2025-04-04,Ahmedabad,18.90156833511778,44.72676140725781,22.744585918631852,29.02388360068869
2025-04-05,Pune,38.43526557756609,60.22771975325829,20.046029950360456,45.535265081822764
2025-04-06,Ahmedabad,41.00085710573855,48.03990928844977,10.074248008253642,32.96200571159052
2025-04-07,Mumbai,39.51105684911868,21.942011382451575,21.670843315875302,28.99279011881467
2025-04-08,Pune,25.440218773134,60.55598136250493,18.58661186648347,38.94521978532598
2025-04-09,Mumbai,47.16823444456123,42.15117885680434,21.978414497336985,31.25836109435462
2025-04-10,Hyderabad,18.05174168990988,44.94652030030045,23.042970875151656,38.09449737570157
